cp,K,T,m,mid,mid1,price0_pde,price1_pde,delta0_pde,price0_bsm,price1_bsm,delta0_bsm,pnl_pde,pnl_bsm,T_bucket,m_bucket
P,6745.0,0.024657534246575342,1.009769705259435,81.0,57.400000000000006,92.71927130686278,115.10995241113453,-0.7830025270526471,406.6156413329977,373.5741213681904,-0.49935209135127806,-5.7945225348229705,-12.24473344267204,2.0-3.0%,1.00-1.02
C,6750.0,0.024657534246575342,1.0105182372870551,14.9,21.65,25.685939735412724,77.67951705308431,0.20432393654996975,0.0,0.0,0.0,2.1036736828537306,6.749999999999998,2.0-3.0%,1.00-1.02
P,6750.0,0.024657534246575342,1.0105182372870551,84.0,60.2,96.0367491003917,115.45565997980837,-0.7956760634499865,423.30012228535816,389.45606892335854,-0.4993519501251788,-5.706326317147479,-12.444736654153541,2.0-3.0%,1.00-1.02
C,6755.0,0.024657534246575342,1.011266769314675,12.55,19.65,24.128843677707952,75.13920369477877,0.19127892412909156,0.0,0.0,0.0,2.7503172653044974,7.099999999999998,2.0-3.0%,1.00-1.02
P,6755.0,0.024657534246575342,1.011266769314675,90.0,63.2,99.4861795681427,117.91458820885579,-0.8087210758708924,439.5007203998384,404.8829554372933,-0.49935182398993405,-8.40968273469608,-15.444739522469005,2.0-3.0%,1.00-1.02
C,6760.0,0.024657534246575342,1.0120153013422952,11.9,17.95,22.598401665530044,80.41150346234485,0.1813796210918995,0.0,0.0,0.0,1.925427416370244,6.049999999999999,2.0-3.0%,1.00-1.02
P,6760.0,0.024657534246575342,1.0120153013422952,93.0,66.6,102.96226408142105,128.18612956377203,-0.8186203789080557,455.26534550242104,419.89984657867035,-0.49935171065156936,-7.784572583630997,-15.044742099783427,2.0-3.0%,1.00-1.02
C,6625.0,0.0273972602739726,0.9914329028471681,89.19999999999999,118.35,93.8820268304537,136.55406765629735,0.5757099479470876,377.33289250315784,372.56081405117266,0.5516703764391356,16.05835578368336,16.60501563977418,2.0-3.0%,0.98-1.00
P,6625.0,0.0273972602739726,0.9914329028471681,32.7,27.8,36.581340207624784,46.598317085253925,-0.42429005205286663,320.08543309265315,291.9713711318541,-0.44740077943479595,4.748355783682092,5.273893724347159,2.0-3.0%,0.98-1.00
C,6630.0,0.0273972602739726,0.9921811540946,85.4,115.1,90.7285566066977,131.5062634376077,0.5596430697828562,359.27842523812205,355.2431644657013,0.5493447539349838,16.97371659313796,17.207900295518577,2.0-3.0%,0.98-1.00
P,6630.0,0.0273972602739726,0.9921811540946,33.65,28.75,38.4325185222678,46.547678337831925,-0.44035693021711975,307.03096176379086,279.65371769345893,-0.44972640193896146,5.113716593137209,5.326778380091888,2.0-3.0%,0.98-1.00
C,6635.0,0.0273972602739726,0.9929294053420318,81.55,109.15,87.72770165877758,131.57173495827436,0.5425495019881698,340.4570603874495,337.196854761185,0.5469044636212528,15.262424324789146,15.16339249725284,2.0-3.0%,0.98-1.00
P,6635.0,0.0273972602739726,0.9929294053420318,34.95,29.75,40.43631211274476,51.61031532976417,-0.4574504980117914,293.20960258819423,266.60741336909314,-0.4521666922526697,5.2024243247880335,5.0822705818256075,2.0-3.0%,0.98-1.00
C,6640.0,0.0273972602739726,0.9936776565894636,78.30000000000001,98.45,84.67953065668947,128.97972786480307,0.5331226402993509,320.7435092187511,318.30289135667954,0.5443307694751283,8.02679115959287,7.771918302135694,2.0-3.0%,0.98-1.00
P,6640.0,0.0273972602739726,0.9936776565894636,36.35,23.7,42.392789649054315,54.015473707557746,-0.46687735970057886,278.4960419589638,252.71344099593216,-0.45474038639883413,-2.033208840408941,-2.309203613290613,2.0-3.0%,0.98-1.00
C,6645.0,0.0273972602739726,0.9944259078368954,74.45,94.45,81.67566736585681,124.14564320977706,0.5173846498485484,299.9740426184967,298.4058081681287,0.5415991915888207,8.234673062444124,7.684034383270335,2.0-3.0%,0.98-1.00
P,6645.0,0.0273972602739726,0.9944259078368954,38.8,24.75,44.39357489662005,54.178554523801914,-0.482615350151427,262.7265803588484,237.8163625473394,-0.4574719642851186,-3.075326937556653,-3.6470875321564993,2.0-3.0%,0.98-1.00
C,6650.0,0.0273972602739726,0.9951741590843273,71.44999999999999,90.5,78.83647241787061,118.94207419347646,0.5007743067029301,277.9277244759419,277.29588251643054,0.5386766889898413,7.662392265575489,6.800492092371137,2.0-3.0%,0.98-1.00
P,6650.0,0.0273972602739726,0.9951741590843273,39.25,25.75,46.5590284870317,53.97215097876604,-0.49922569329707245,245.6802597539081,221.70643456164817,-0.4603944668841118,-2.147607734424682,-3.030629823055399,2.0-3.0%,0.98-1.00
C,6655.0,0.0273972602739726,0.9959224103317591,68.0,86.65,76.019427262768,121.86466273280973,0.48828487300180823,254.29364441251118,254.67810254741744,0.5355167694941604,7.546401987938992,6.472348661702915,2.0-3.0%,0.98-1.00
P,6655.0,0.0273972602739726,0.9959224103317591,40.8,26.85,48.74663187032687,61.891904989367795,-0.5117151269981863,227.04617954719788,204.08865445702804,-0.46355438637979524,-2.31359801206135,-3.4087732537235524,2.0-3.0%,0.98-1.00
C,6660.0,0.0273972602739726,0.9966706615791909,64.65,82.8,73.19643667319866,117.52097615339449,0.4751864348090885,228.60941696977216,230.11397071178544,0.532050287310804,7.344260472441423,6.051176466552425,2.0-3.0%,0.98-1.00
P,6660.0,0.0273972602739726,0.9966706615791909,42.45,28.0,50.9282898191552,62.54538388122029,-0.5248135651909108,206.36194799651912,184.5245187292844,-0.46702086856318925,-2.5157395275588055,-3.829945448873181,2.0-3.0%,0.98-1.00
C,6665.0,0.0273972602739726,0.9974189128266228,61.35,79.6,70.48421875296481,112.42090111554035,0.4593136997930542,200.13191008895637,202.89932070525538,0.5281661059070161,7.805206466706041,6.2395027516745625,2.0-3.0%,0.98-1.00
P,6665.0,0.0273972602739726,0.9974189128266228,44.15,29.15,53.22072043731951,62.44247431463,-0.5406863002068995,182.88444698040576,162.30987427971104,-0.470905049966927,-2.7047935332952253,-4.291619163752182,2.0-3.0%,0.98-1.00
C,6670.0,0.0273972602739726,0.9981671640740546,58.15,75.35,67.89348672518437,114.53825138340608,0.4429649218725609,167.5179321120754,171.76305647094705,0.5236633333794689,7.126977676618058,5.291895798950987,2.0-3.0%,0.98-1.00
P,6670.0,0.0273972602739726,0.9981671640740546,45.85,30.55,55.63463694793686,69.55699005376367,-0.557035078127448,155.27046827378945,136.17360935447095,-0.47540782249448493,-2.6330223233819545,-4.489226116475518,2.0-3.0%,0.98-1.00
C,6675.0,0.0273972602739726,0.9989154153214864,55.0,71.7,65.26118223555217,111.5521531654595,0.43357957310763756,127.79352944274387,133.8978817203315,0.5180971160656195,6.840400507532419,4.918471580667928,2.0-3.0%,0.98-1.00
P,6675.0,0.0273972602739726,0.9989154153214864,47.75,31.85,58.00698099670261,71.56805730708643,-0.5664204268923628,120.54607135180458,103.30844003900802,-0.4809740398081908,-3.0195994924677922,-4.962650334761845,2.0-3.0%,0.98-1.00
C,6680.0,0.0273972602739726,0.9996636665689181,51.95,68.1,62.676350303600344,106.68270101259242,0.41842330810025735,70.30130860926192,79.32266042135507,0.5098725751465508,6.635053973800231,4.555497641167538,2.0-3.0%,0.98-1.00
P,6680.0,0.0273972602739726,0.9996636665689181,49.7,33.25,60.42679760314854,71.69577062548571,-0.5815766918997006,68.05384481037481,53.73321334667207,-0.4891985807274425,-3.2249460262009375,-5.325624274258068,2.0-3.0%,0.98-1.00
