cp,K,T,F,df,mid,iv_parity
C,6740.0,0.0273972602739726,6682.25,1.0,22.55,0.10322160141219312
P,6740.0,0.0273972602739726,6682.25,1.0,80.6,0.10398942136736071
C,6745.0,0.0273972602739726,6682.25,1.0,20.75,0.10239163339603714
P,6745.0,0.0273972602739726,6682.25,1.0,83.44999999999999,0.10226029276039683
C,6750.0,0.0273972602739726,6682.25,1.0,19.05,0.10158769495946823
P,6750.0,0.0273972602739726,6682.25,1.0,87.15,0.1025309775823154
C,6755.0,0.0273972602739726,6682.25,1.0,17.45,0.10081331412004726
P,6755.0,0.0273972602739726,6682.25,1.0,90.1,0.1005349147546494
C,6760.0,0.0273972602739726,6682.25,1.0,15.05,0.09746854189440737
P,6760.0,0.0273972602739726,6682.25,1.0,93.55,0.0996416763921079
C,6615.0,0.0356164383561643,6682.85,1.0,102.0,0.12442384330780787
P,6615.0,0.0356164383561643,6682.85,1.0,33.85,0.12376482215574808
C,6620.0,0.0356164383561643,6682.85,1.0,96.0,0.11853074333379786
P,6620.0,0.0356164383561643,6682.85,1.0,35.0,0.12255816445920525
C,6625.0,0.0356164383561643,6682.85,1.0,94.55,0.12243239737558259
P,6625.0,0.0356164383561643,6682.85,1.0,36.349999999999994,0.12168212008660599
C,6630.0,0.0356164383561643,6682.85,1.0,90.0,0.1195304761183165
P,6630.0,0.0356164383561643,6682.85,1.0,37.599999999999994,0.12048536894621023
C,6635.0,0.0356164383561643,6682.85,1.0,87.0,0.11981392359948656
P,6635.0,0.0356164383561643,6682.85,1.0,38.95,0.11939423360458057
C,6640.0,0.0356164383561643,6682.85,1.0,81.0,0.11371724828081017
P,6640.0,0.0356164383561643,6682.85,1.0,40.3,0.11819369674574456
C,6645.0,0.0356164383561643,6682.85,1.0,78.0,0.1137892594452631
P,6645.0,0.0356164383561643,6682.85,1.0,41.8,0.11719173941595333
C,6650.0,0.0356164383561643,6682.85,1.0,75.0,0.11372146010402233
P,6650.0,0.0356164383561643,6682.85,1.0,43.400000000000006,0.11627712750059746
C,6655.0,0.0356164383561643,6682.85,1.0,72.0,0.11351630937025262
P,6655.0,0.0356164383561643,6682.85,1.0,44.9,0.11503839305832388
C,6660.0,0.0356164383561643,6682.85,1.0,68.80000000000001,0.11277201807706794
P,6660.0,0.0356164383561643,6682.85,1.0,46.55,0.11398202265903119
C,6665.0,0.0356164383561643,6682.85,1.0,66.0,0.11269944953913263
P,6665.0,0.0356164383561643,6682.85,1.0,48.3,0.113000350997064
C,6670.0,0.0356164383561643,6682.85,1.0,63.0,0.11208842187122563
P,6670.0,0.0356164383561643,6682.85,1.0,50.1,0.11198853361598064
C,6675.0,0.0356164383561643,6682.85,1.0,60.0,0.11134141654405286
P,6675.0,0.0356164383561643,6682.85,1.0,52.0,0.11104263444338527
C,6680.0,0.0356164383561643,6682.85,1.0,56.8,0.11005757224760981
P,6680.0,0.0356164383561643,6682.85,1.0,53.95,0.11005757224761054
C,6685.0,0.0356164383561643,6682.85,1.0,52.9,0.10724175421008919
P,6685.0,0.0356164383561643,6682.85,1.0,55.9,0.10893120353939734
C,6690.0,0.0356164383561643,6682.85,1.0,50.05,0.10637260348292915
P,6690.0,0.0356164383561643,6682.85,1.0,57.0,0.10597473365721612
C,6695.0,0.0356164383561643,6682.85,1.0,47.2,0.10534927457680757
P,6695.0,0.0356164383561643,6682.85,1.0,60.0,0.10664536143611077
C,6700.0,0.0356164383561643,6682.85,1.0,44.5,0.10447064230549402
P,6700.0,0.0356164383561643,6682.85,1.0,62.65,0.10647220158279755
C,6705.0,0.0356164383561643,6682.85,1.0,41.849999999999994,0.10353400972884264
P,6705.0,0.0356164383561643,6682.85,1.0,66.0,0.1075577564406034
C,6710.0,0.0356164383561643,6682.85,1.0,39.3,0.10263651352981797
P,6710.0,0.0356164383561643,6682.85,1.0,66.0,0.10172396821955836
C,6715.0,0.0356164383561643,6682.85,1.0,36.849999999999994,0.10177608996744839
P,6715.0,0.0356164383561643,6682.85,1.0,69.0,0.10177608996744926
C,6720.0,0.0356164383561643,6682.85,1.0,34.55,0.10105458688399253
P,6720.0,0.0356164383561643,6682.85,1.0,72.0,0.10167470715466331
C,6725.0,0.0356164383561643,6682.85,1.0,32.3,0.10026556895980444
P,6725.0,0.0356164383561643,6682.85,1.0,75.0,0.10141642745151458
C,6730.0,0.0356164383561643,6682.85,1.0,30.1,0.099404729864318
P,6730.0,0.0356164383561643,6682.85,1.0,78.0,0.10099647836391815
C,6735.0,0.0356164383561643,6682.85,1.0,28.049999999999997,0.09868305350646434
P,6735.0,0.0356164383561643,6682.85,1.0,81.0,0.10040850611593743
C,6740.0,0.0356164383561643,6682.85,1.0,26.1,0.09799685613668523
P,6740.0,0.0356164383561643,6682.85,1.0,84.0,0.09964428879379635
C,6745.0,0.0356164383561643,6682.85,1.0,24.15,0.09712328256073154
P,6745.0,0.0356164383561643,6682.85,1.0,87.0,0.09869333121939836
C,6750.0,0.0356164383561643,6682.85,1.0,22.35,0.09639430687223152
P,6750.0,0.0356164383561643,6682.85,1.0,94.25,0.10715480149135675
C,6755.0,0.0356164383561643,6682.85,1.0,20.700000000000003,0.09582067007768204
P,6755.0,0.0356164383561643,6682.85,1.0,93.0,0.09617415444744973
C,6760.0,0.0356164383561643,6682.85,1.0,19.3,0.0956580555090434
P,6760.0,0.0356164383561643,6682.85,1.0,96.0,0.09456702298730052
C,6605.0,0.0383561643835616,6682.8,1.0,111.0,0.12484846103155851
P,6605.0,0.0383561643835616,6682.8,1.0,34.55,0.12775780014253912
C,6610.0,0.0383561643835616,6682.8,1.0,108.0,0.12563655646183083
